first_name,last_name,gender,date_of_birth,id_code
Jaan,Saar,F,1983-11-16,3624908
Laura,Mets,F,1951-09-10,14413418
Peeter,Mets,M,1952-11-15,5038911
Peeter,Saar,F,2007-02-17,5010203
Mati,Tamm,F,1948-02-12,5995222
Peeter,Mets,F,1953-09-07,13186192
Jaan,Tamm,M,2006-10-19,12207910
Mati,Mets,M,1999-10-29,12021219
Jaan,Saar,F,1977-12-07,500218
Peeter,Saar,M,1952-07-27,4392402
Mari,Mets,M,1948-01-21,11812161
Peeter,Mets,F,1954-08-30,14113095
Laura,Tamm,M,1973-08-10,8454751
Anna,Tamm,M,1958-06-22,3402732
Anna,Tamm,F,1988-11-06,14191354
Anna,Saar,F,1958-03-02,12622035
Peeter,Mets,F,1948-01-21,11959615
Mari,Mets,M,1998-09-13,15428872
Anna,Saar,F,1956-12-02,5510989
Laura,Mets,F,1949-10-18,9358658
Laura,Tamm,F,1948-01-21,14190351
Anna,Tamm,M,1976-05-28,12558647
Mati,Mets,F,1948-03-11,696561
Anna,Saar,F,1983-02-09,15368609
Jaan,Mets,F,1999-02-08,4550514
Mari,Tamm,F,1949-03-12,15859322
Anna,Saar,F,1951-08-29,1880653
Mati,Mets,M,1948-11-08,7546539
Jaan,Saar,M,1954-02-11,11430178
Anna,Saar,M,1949-10-08,13940730
Jaan,Tamm,M,1952-06-23,6986874
Jaan,Tamm,M,1948-01-21,640927
Jaan,Saar,F,1964-06-03,7062974
Laura,Saar,F,1956-03-23,10521245
Anna,Mets,F,2007-02-16,5875632
Mari,Mets,F,1999-03-17,10091381
Mati,Saar,F,2006-11-08,8947025
Jaan,Mets,F,2006-12-22,15701538
Mari,Mets,F,1948-04-06,3387307
Peeter,Tamm,F,1948-02-15,539666
Mari,Tamm,M,1992-08-28,10934216
Laura,Tamm,F,1948-01-21,13436487
Peeter,Tamm,M,1950-07-27,10484535
Mari,Mets,F,2003-01-02,4202084
Anna,Mets,M,1948-03-15,6799733
Mati,Saar,M,1951-04-16,10696989
Jaan,Mets,F,1974-07-05,5155959
Laura,Tamm,F,1992-05-26,12303649
Mari,Tamm,F,1952-02-18,13163560
Mari,Tamm,M,2007-02-16,16549729
Jaan,Tamm,M,1966-09-20,10665315
Peeter,Mets,F,2007-02-16,69736
Mati,Saar,F,1967-07-09,3711962
Laura,Mets,M,1978-03-20,13316980
Anna,Saar,M,1968-12-22,5072714
Peeter,Mets,M,1958-11-24,3940775
Peeter,Mets,F,1958-07-03,4022160
Mari,Mets,F,2007-02-16,4535337
Mati,Mets,F,1951-09-08,14604631
Mati,Mets,F,2000-12-07,7421076
Laura,Mets,F,1949-08-01,5042773
Anna,Tamm,F,1950-12-05,2352352
Mati,Saar,M,2007-02-16,3968061
Mari,Mets,F,1948-01-21,2959880
Mati,Saar,M,1948-01-21,246904
Peeter,Saar,F,1982-08-09,16184154
Mari,Tamm,M,1964-12-08,16592304
Laura,Saar,M,1981-10-22,11389275
Mati,Mets,M,1951-05-28,4046132
Mari,Saar,M,1966-02-09,11338519
Mari,Tamm,F,1948-01-21,1387041
Jaan,Tamm,M,2007-01-01,7551073
Mati,Tamm,F,2000-08-29,15379338
Anna,Mets,F,1997-12-12,10519386
Laura,Mets,F,2006-04-13,3400284
Jaan,Mets,M,1948-01-21,2276004
Mari,Saar,M,1948-10-20,15655144
Jaan,Mets,F,1948-07-03,11785146
Jaan,Tamm,F,1976-07-23,14477411
Anna,Saar,M,1948-04-14,10535378
Mati,Tamm,M,1948-01-21,16177220
Mari,Saar,F,1948-01-21,6216312
Jaan,Saar,F,1957-05-26,14165605
Mati,Saar,M,1950-11-07,10756906
Jaan,Mets,F,1948-01-21,12203785
Laura,Tamm,F,1948-01-21,11745972
Mati,Tamm,M,1994-10-29,1236214
Mari,Saar,M,1959-05-19,10125385
Jaan,Tamm,F,1958-04-16,1245045
Laura,Mets,M,1948-02-15,16358955
Mari,Saar,M,1985-05-27,15590316
Mari,Tamm,F,1952-11-02,16625694
Mari,Saar,F,1960-04-20,7560141
Jaan,Tamm,M,1949-03-22,7101049
Mati,Tamm,M,1984-10-29,834959
Mari,Saar,F,1950-06-13,530237
Peeter,Mets,M,1982-12-02,243106
Anna,Saar,F,1984-07-07,13390508
Mati,Saar,M,2007-02-16,8594602
Jaan,Mets,F,2007-02-16,1847338
Peeter,Tamm,F,1976-03-10,6138776
Laura,Saar,F,1988-04-22,1936381
Jaan,Saar,F,1954-03-10,9850514
Anna,Saar,F,2004-11-09,10918097
Mati,Tamm,F,1948-02-01,8098983
Mati,Mets,M,1983-07-30,2367765
Laura,Saar,F,1976-03-25,12006551
Jaan,Tamm,F,1991-09-03,10163547
Mati,Saar,M,2007-02-16,4976068
Anna,Mets,M,2002-11-22,8100090
Peeter,Mets,M,1956-04-02,9654618
Jaan,Saar,F,1965-03-12,16358953
Jaan,Saar,M,1956-09-07,11727704
Mari,Tamm,F,1962-01-24,924292
Peeter,Mets,M,1948-08-08,2230551
Peeter,Saar,F,1948-02-24,6738991
Anna,Tamm,M,1962-07-18,4836555
Mati,Mets,M,1965-10-19,13729416
Mati,Saar,F,1949-04-03,14714450
Mati,Saar,F,2003-04-29,6209546
Mati,Mets,F,1963-12-28,11968942
Laura,Tamm,M,1948-01-21,10367917
Peeter,Mets,F,1948-05-05,14442563
Jaan,Saar,F,1948-01-21,4248294
Peeter,Mets,M,2004-09-05,11766795
Mati,Tamm,M,1949-01-07,10093171
Anna,Saar,M,1983-06-25,12294946
Laura,Mets,M,1999-05-04,6078947
Mari,Tamm,F,1948-11-19,3881869
Mari,Tamm,M,1951-05-23,5998600
Peeter,Saar,M,1962-11-18,1111992
Jaan,Tamm,M,1950-10-17,11856750
Anna,Tamm,F,2007-02-16,8856132
Peeter,Saar,F,1948-01-21,367505
Mati,Mets,F,1956-08-03,7881393
Anna,Mets,M,1948-01-21,2259892
Laura,Mets,F,1949-03-03,9106655
Peeter,Saar,F,1948-01-21,2084283
Jaan,Mets,F,1948-12-16,7711311
Mati,Saar,F,1948-08-02,5731216
Mari,Saar,F,2007-02-16,8548723
Anna,Tamm,F,1950-11-13,12386591
Mati,Tamm,F,1948-01-21,9080767
Mati,Tamm,M,1991-08-13,10915300
Peeter,Tamm,F,2005-06-05,13336008
Mati,Saar,F,1985-08-28,13493880
Peeter,Tamm,F,1954-07-31,5200832
Laura,Tamm,M,1948-03-10,2957121
Mari,Mets,F,1949-12-20,14447814
Peeter,Tamm,F,1948-01-21,12773510
Anna,Tamm,F,1948-01-21,3354204
Laura,Mets,F,1952-02-27,9911379
Mati,Saar,F,1995-11-02,5856025
Anna,Mets,M,1983-07-16,5491024
Mari,Saar,F,1948-01-21,7819889
Anna,Tamm,M,1948-07-22,16688131
Jaan,Tamm,F,1948-01-21,217599
Mati,Tamm,F,1952-04-14,1286239
Peeter,Tamm,M,1949-07-02,12333569
Mati,Saar,M,1949-10-27,9531189
Laura,Tamm,F,2007-02-16,13094912
Anna,Mets,M,2007-02-16,190851
Jaan,Saar,M,1961-11-30,7682
Anna,Tamm,M,1955-02-03,11629260
Mati,Tamm,F,1948-01-21,2118222
Laura,Saar,F,1982-01-22,9426431
Anna,Tamm,M,1950-11-18,1711770
Mati,Mets,F,1964-02-28,10651522
Laura,Mets,F,2007-02-16,1398256
Laura,Saar,F,2006-07-26,1555451
Laura,Tamm,F,1990-04-01,134275
Laura,Saar,F,1999-01-22,7578639
Peeter,Saar,M,1960-12-26,3666678
Mati,Saar,M,1952-02-27,8055829
Mari,Mets,M,1948-01-21,14515934
Mari,Saar,F,1957-12-16,8066890
Mari,Mets,M,2005-11-06,2444336
Laura,Mets,M,1971-02-10,14995414
Anna,Saar,M,1984-04-18,6063551
Jaan,Tamm,F,1951-03-23,11178390
Jaan,Mets,F,1953-05-05,9430282
Peeter,Mets,M,1971-01-06,242969
Mari,Tamm,M,1948-01-21,9516438
Peeter,Saar,F,1951-04-25,8372348
Mari,Tamm,F,1948-07-06,11204529
Mati,Tamm,M,1985-08-03,3865510
Laura,Tamm,M,1949-04-11,14895726
Peeter,Saar,M,1951-03-29,4254077
Anna,Saar,F,2007-01-28,14997524
Mari,Tamm,M,1957-06-01,11426032
Laura,Tamm,M,1959-08-27,588163
Mati,Saar,M,2004-02-06,7244589
Jaan,Saar,M,1990-03-22,7512025
Mati,Mets,F,1955-03-29,274958
Mari,Saar,M,1969-06-27,15679951
Laura,Tamm,F,1999-01-10,12126820
Peeter,Saar,M,1999-09-04,1017529
Mati,Saar,F,1955-04-08,10664293
Laura,Tamm,M,2007-02-16,1750099
Anna,Mets,F,1948-04-07,12692001
Mari,Saar,F,1948-01-29,9628892
Jaan,Tamm,M,1948-08-07,1451345
Mari,Mets,F,1962-02-27,12733166
Laura,Mets,M,1974-03-24,10946867
Anna,Saar,F,1948-01-21,12579038
Peeter,Mets,M,1989-04-21,6739947
Peeter,Tamm,M,1990-07-05,12469258
Peeter,Tamm,M,1958-03-11,13825809
Mari,Mets,F,1954-12-26,9262839
Anna,Mets,M,2003-02-15,133412
Laura,Saar,F,1975-09-03,11819272
Mati,Mets,F,1984-04-05,14248250
Peeter,Tamm,F,1948-01-21,12554417
Peeter,Tamm,M,1948-04-19,7427743
Mati,Tamm,M,1987-10-10,8025336
Peeter,Saar,M,1951-07-26,4818485
Laura,Tamm,F,1948-01-21,8974563
Anna,Saar,M,1984-02-22,14132727
Mati,Saar,M,1989-02-23,2836555
Mari,Saar,M,1949-10-17,2825271
Mari,Mets,F,2007-01-30,12128429
Jaan,Saar,M,1954-06-03,13924896
Laura,Mets,F,1969-10-26,11152778
Peeter,Mets,F,1949-05-07,499493
Mati,Tamm,M,1948-01-21,342639
Mati,Saar,F,1984-09-03,7218611
Anna,Mets,F,1949-01-29,15174110
Laura,Saar,F,2007-02-16,11518796
Peeter,Mets,M,1949-12-25,6594354
Mati,Mets,F,1994-05-09,16588571
Peeter,Mets,F,1950-10-23,7948752
Anna,Tamm,M,1996-02-23,7905608
Peeter,Mets,M,1986-10-30,10546078
Anna,Saar,M,2007-02-16,14815904
Mati,Mets,F,1960-07-05,1320717
Mati,Mets,F,1954-11-20,2236478
Mati,Mets,M,1948-11-25,13446819
Peeter,Mets,F,2001-01-02,10485179
Mati,Mets,F,1959-07-27,1428303
Laura,Mets,F,2007-02-16,5244254
Anna,Tamm,F,1948-01-21,13212821
Jaan,Tamm,M,2006-08-23,4251669
Peeter,Mets,M,1949-08-27,11144119
Laura,Mets,F,1949-06-28,1771850
Anna,Mets,M,1961-08-17,5424595
Anna,Saar,M,1948-01-21,3221224
Laura,Saar,M,1948-01-22,15456721
Mari,Saar,M,1948-01-21,5518781
Mati,Mets,F,2004-07-29,4327559
Mati,Mets,M,2007-02-17,3090035
Anna,Mets,F,1948-07-18,16498638
Mati,Mets,F,1948-01-21,1921615
Jaan,Mets,M,1948-05-13,13043111
Anna,Tamm,M,1978-08-29,4995197
Laura,Tamm,M,1967-04-07,3721861
Peeter,Tamm,M,1948-01-21,13594518
Peeter,Mets,M,1948-01-21,7915884
Jaan,Mets,F,1950-03-05,14859471
Mati,Mets,M,1948-04-13,14122214
Mari,Mets,M,1948-09-02,9529279
Peeter,Saar,M,2007-02-16,1169908
Jaan,Mets,F,1980-12-27,11500517
Anna,Mets,F,1989-10-29,6674790
Mari,Tamm,F,2006-10-14,8865873
Mari,Saar,F,1949-10-14,11434256
Mari,Tamm,M,2007-01-31,3585751
Anna,Saar,F,1948-01-21,14790851
Anna,Mets,F,2006-08-27,4132956
Laura,Mets,M,1956-02-27,1906998
Peeter,Mets,M,2007-02-16,11676764
Peeter,Tamm,F,1948-04-06,1221521
Laura,Saar,M,1957-08-09,5860998
Laura,Mets,F,1952-11-09,14643982
Mati,Tamm,M,1975-12-12,9313361
Jaan,Tamm,F,1957-05-14,11511021
Peeter,Mets,F,1974-08-22,10765961
Laura,Mets,M,1968-09-16,14277613
Laura,Mets,F,1966-07-11,11360563
Mati,Mets,F,1949-07-24,12192259
Jaan,Mets,F,1951-06-08,7832058
Laura,Tamm,M,1988-12-30,11942880
Jaan,Mets,M,1948-01-21,1198099
Anna,Mets,M,1948-01-21,16755218
Laura,Mets,M,1948-04-22,910439
Mati,Saar,F,1948-09-10,12614896
Peeter,Mets,F,1948-01-21,11973112
Mari,Saar,M,1969-04-28,13533016
Laura,Tamm,M,1978-12-18,12976245
Anna,Tamm,F,1964-02-17,6752140
Anna,Mets,M,2004-03-18,4913406
Jaan,Tamm,F,2007-02-16,3590587
Jaan,Mets,F,1952-05-08,6801047
Jaan,Mets,F,1956-10-09,12963647
Mari,Mets,F,1948-01-21,3153577
Mati,Tamm,M,1969-06-12,5850500
Mati,Mets,F,1986-12-21,4606593
Peeter,Tamm,F,1951-08-10,15861087
Mari,Mets,M,1955-11-23,7340624
Peeter,Mets,M,1948-05-27,156962
Anna,Tamm,M,1981-08-01,186176
Mari,Tamm,F,1953-07-07,2081821
Laura,Mets,M,1949-10-15,662780
Jaan,Tamm,F,2007-02-11,7306256
Mari,Saar,F,2006-03-20,3440133
Laura,Saar,F,1950-06-23,13263314
Laura,Tamm,F,1961-11-05,14166091
Anna,Tamm,M,1965-03-30,5576537
Mati,Tamm,M,1953-06-15,10984546
Jaan,Saar,F,1956-10-26,3502160
Mari,Mets,M,1948-01-24,11738523
Jaan,Saar,M,2007-02-07,3070745
Peeter,Tamm,M,1960-06-28,6416061
Mari,Mets,F,1948-01-21,10449467
Anna,Mets,F,1962-07-25,11092593
Peeter,Tamm,M,1950-01-28,3320806
Peeter,Tamm,F,1948-01-21,14797212
Jaan,Saar,F,1949-07-04,4359024
Anna,Mets,M,1978-05-05,9186763
Anna,Tamm,M,2006-04-06,13713798
Peeter,Saar,M,1949-06-22,12885053
Anna,Saar,F,1977-12-28,6098487
Anna,Mets,F,1948-01-21,4252258
Peeter,Tamm,F,1949-12-11,4704279
Mari,Saar,M,1954-10-22,3783117
Jaan,Mets,F,1948-01-21,739005
Mari,Tamm,M,1999-03-09,3209606
Anna,Mets,M,1959-08-02,13944624
Mari,Mets,M,1965-09-24,11955627
Jaan,Mets,M,2005-02-22,7917364
Anna,Mets,M,1964-12-29,8793479
Peeter,Tamm,F,1992-12-02,5872303
Laura,Mets,M,1948-11-05,13587768
Anna,Mets,M,1948-01-21,1651622
Laura,Mets,F,1955-11-02,225587
Anna,Mets,M,1998-12-25,16118163
Peeter,Saar,M,1948-01-21,3340428
Laura,Mets,F,1971-12-11,2708645
Jaan,Tamm,F,2007-02-05,1323139
Anna,Tamm,F,1948-03-06,14683363
Mari,Tamm,M,2007-02-01,14871925
Jaan,Mets,M,2007-02-16,3868326
Jaan,Mets,M,1964-09-25,11692177
Peeter,Mets,F,1950-09-24,1301900
